K,model,mae,rmse,smape
5,DirectK,585.5272769279563,937.6111286971892,0.4877955383580939
5,PooledResidual,565.4803381739583,868.612334506508,0.4729538377103402
8,DirectK,434.1877099320776,764.9247710730126,0.4412789638335634
8,PooledResidual,413.9117321754552,693.6448583244386,0.4280004385282408
10,DirectK,384.83739507707867,702.8069508038008,0.42446404258305265
10,PooledResidual,373.3098022599899,657.1539578133622,0.41591790412366275
12,DirectK,342.6782821367106,645.4838494157175,0.42382805923729655
12,PooledResidual,337.57637620255974,626.0714823025684,0.42062433566538227
14,DirectK,303.9716575333204,600.3720287302295,0.4236107864433731
14,PooledResidual,298.3835115313213,574.3934864578662,0.41949245713890104
