K,placebo,mean_placebo_minus_real,median_placebo_minus_real,q05_placebo_minus_real,q95_placebo_minus_real,proportion_seeds_real_better,mean_share_months_real_better,mean_placebo_minus_direct
5,Shuffled residual,3.555520551615115,3.277921709823484,-7.285648551271631,13.86581436962896,0.8,0.4892156862745097,-16.49141820238276
5,Synthetic residual,11.672186976203676,13.283076358926545,-14.93192944550906,31.08449934045811,0.8,0.5196078431372549,-8.374751777794197
8,Shuffled residual,13.504737456123488,13.629394973090148,7.046002459784167,19.37968709515638,1.0,0.5421568627450981,-6.771240300498908
8,Synthetic residual,19.34299660823002,20.367043349951054,8.342262522675288,28.672556693860933,1.0,0.584313725490196,-0.9329811483923756
10,Shuffled residual,7.2023371649629535,6.920034621113716,2.621148710347528,11.732566524147131,0.95,0.5411764705882354,-4.325255652125825
10,Synthetic residual,11.521064511190769,12.522299437352798,1.319401285728416,19.08531812722413,0.95,0.5686274509803921,-0.0065283058980076
12,Shuffled residual,1.1479223795853324,0.9298386649200706,-1.725580558122672,5.1821504425032,0.65,0.5068627450980392,-3.9539835545655584
12,Synthetic residual,2.6717378766844737,2.732976880114612,-2.25027992118187,6.813548260419437,0.8,0.5362745098039216,-2.4301680574664166
14,Shuffled residual,3.4900478231916843,3.3059342495868416,0.0844210007985323,6.577918828906096,0.95,0.5480392156862746,-2.098098178807414
14,Synthetic residual,6.497766492257209,6.218530760535575,2.6644633513237013,10.866774330774389,1.0,0.5823529411764705,0.9096204902581114
